database,attribute,n_used,positive_rate,mdl_auroc,ci_low,ci_high,leakage_flag
MIMIC-IV,sex_male,40167,0.5660616924340877,0.5603489766190201,0.5525048218201499,0.5768248933646645,True
MIMIC-IV,age_lt_65,40167,0.44997136953220307,0.5556978334377234,0.5525176323269801,0.5742910348979674,True
MIMIC-IV,age_ge_80,40167,0.2127866158787064,0.5639713665940798,0.5560914746251724,0.5853425333226296,True
SICdb,sex_male,14688,0.6284041394335512,0.5178451503926086,0.505546871535449,0.5478622636436663,False
SICdb,age_lt_65,14688,0.33905228758169936,0.5376591380945243,0.522336831455696,0.5643143902737251,False
SICdb,age_ge_80,14688,0.23910675381263616,0.5264371382343913,0.5279871141776383,0.5725228718128642,False
eICU-CRD,sex_male,93187,0.5419532767446102,0.5358649426466637,0.5297442622150865,0.5461509742780329,False
eICU-CRD,age_lt_65,93187,0.47176108255443355,0.5480510422240903,0.5353714451115084,0.5515157655838993,False
eICU-CRD,age_ge_80,93187,0.19472673226952258,0.562485729769396,0.5507714023265949,0.5719232240986776,True
