site_id,n,mortality,ece
63,468,0.07692307692307693,0.033794140206705674
66,311,0.05144694533762058,0.07562019836724551
68,200,0.035,0.05425971596470648
71,358,0.030726256983240222,0.05140077586045099
73,3016,0.0613395225464191,0.03746057087081559
79,688,0.10465116279069768,0.06364820833294497
92,229,0.08733624454148471,0.06209547604405394
110,875,0.08685714285714285,0.026559875791222723
122,1764,0.10430839002267574,0.04852418137361458
140,259,0.11583011583011583,0.06682459487183603
141,809,0.08405438813349815,0.0539774462522884
142,1009,0.1635282457879088,0.04630579914274882
143,349,0.08022922636103152,0.0674538898742215
144,379,0.11345646437994723,0.058130726136988456
146,402,0.07213930348258707,0.05641633184196288
148,508,0.12598425196850394,0.04286178261310848
152,316,0.1360759493670886,0.06971389253027054
154,323,0.17647058823529413,0.059117162237339226
155,218,0.0871559633027523,0.06784922647107512
157,304,0.18092105263157895,0.0756791923529327
165,498,0.1686746987951807,0.04129682681861392
167,878,0.17995444191343962,0.03790913709412713
171,399,0.07769423558897243,0.05209346419139538
176,628,0.12738853503184713,0.04826117669242417
180,261,0.06896551724137931,0.0817138805647013
181,518,0.13127413127413126,0.06359101534812579
183,1078,0.10111317254174397,0.03733935020675764
184,540,0.12407407407407407,0.04263292310180653
188,2117,0.09211147850732168,0.04916004910193627
194,254,0.07874015748031496,0.07083491644688111
195,810,0.05185185185185185,0.0745463158909
196,212,0.09433962264150944,0.048391798618618614
197,1082,0.0822550831792976,0.04075118143997988
198,454,0.07048458149779736,0.053058621898236534
199,1919,0.11516414799374675,0.023050579829670393
200,245,0.11428571428571428,0.04994136340109314
202,408,0.125,0.08106362404148137
206,471,0.1932059447983015,0.07850200863319835
207,316,0.056962025316455694,0.039031494652665255
208,1586,0.0914249684741488,0.038753820602142594
210,301,0.08970099667774087,0.04005642957860792
215,345,0.0927536231884058,0.06332613564024525
217,749,0.1268357810413885,0.037939374240831235
220,434,0.08064516129032258,0.03885703526028394
224,297,0.09427609427609428,0.06917860772167206
226,734,0.10899182561307902,0.0354714947872319
227,764,0.09162303664921466,0.035397079806617916
243,2268,0.09259259259259259,0.02777356055346972
244,611,0.07201309328968904,0.026429112838671172
245,262,0.061068702290076333,0.036266738788772075
248,1050,0.07428571428571429,0.04331104415198119
252,1932,0.13612836438923395,0.03602135521785965
253,247,0.15789473684210525,0.07469351510903666
254,276,0.06521739130434782,0.05902685865714862
256,380,0.039473684210526314,0.06947058056996039
259,386,0.17098445595854922,0.07466183788809437
264,3119,0.06829111894838089,0.04091473556232182
268,338,0.12130177514792899,0.06480030142821504
269,384,0.07291666666666667,0.07103958455914045
271,483,0.060041407867494824,0.05570698624005181
272,552,0.05615942028985507,0.058648155357343516
275,303,0.07590759075907591,0.08667206134753602
277,756,0.06613756613756613,0.0679646912961524
279,319,0.05956112852664577,0.07529153065968035
280,627,0.05422647527910686,0.0802999960377425
281,1394,0.05738880918220947,0.05507745584343487
282,452,0.046460176991150445,0.0756898366586365
283,1082,0.06839186691312385,0.07997850600963632
300,2051,0.083373963920039,0.03323856332696364
301,475,0.06315789473684211,0.07257428182166674
307,1026,0.11208576998050682,0.034754618855322786
310,544,0.04044117647058824,0.07384502320894021
312,258,0.1744186046511628,0.041559574790942945
318,584,0.1267123287671233,0.04586425667429841
331,901,0.04328523862375139,0.041540001577701
336,571,0.09807355516637478,0.05961915669080416
337,286,0.08741258741258741,0.05750329900052938
338,2391,0.07988289418653283,0.03453929791746688
345,975,0.06256410256410257,0.10112556522252351
353,377,0.05570291777188329,0.08313063921806213
357,316,0.060126582278481014,0.03779869790522435
358,210,0.047619047619047616,0.07869128654904647
365,972,0.03292181069958848,0.10104323906183385
382,710,0.05211267605633803,0.03892662919315378
383,259,0.13513513513513514,0.03818097028354669
384,527,0.1252371916508539,0.05764433692174582
386,263,0.17490494296577946,0.05782028669771142
387,340,0.07941176470588235,0.04085194687360341
388,644,0.12422360248447205,0.051164380508559607
390,709,0.14104372355430184,0.036755397310394546
391,519,0.15606936416184972,0.03846024549460845
392,424,0.15566037735849056,0.039144348818122066
394,1138,0.07293497363796134,0.024185257443757033
396,345,0.07536231884057971,0.060977530768909854
397,283,0.12014134275618374,0.05155272108437701
400,930,0.16021505376344086,0.05052479980419848
403,635,0.08661417322834646,0.02337481555465899
407,406,0.07142857142857142,0.047017085611226375
411,1108,0.10018050541516245,0.03817394225623013
413,1047,0.06208213944603629,0.02109286718259248
416,1138,0.07205623901581722,0.03683085043202544
417,909,0.1034103410341034,0.030463546450109222
419,247,0.08502024291497975,0.10169070960030717
420,2613,0.13585916570991197,0.03032188075513973
421,324,0.15432098765432098,0.0702036976069776
424,222,0.036036036036036036,0.04845861287567785
435,785,0.10573248407643313,0.039946983612289336
440,639,0.07981220657276995,0.04067917934448036
443,2198,0.12374886260236578,0.054005214107639435
444,680,0.07794117647058824,0.03803650938112575
449,1365,0.1076923076923077,0.06168665712102735
452,452,0.18805309734513273,0.07498113807589053
458,2291,0.1178524661719773,0.019478540505569002
459,292,0.10273972602739725,0.06411102966159704
