stage,model,method,ece,brier,ece_raw,rhr
Stage 2: Temporal,LogReg,platt,0.010658005389041427,0.07229289199894463,0.23422952563682697,0.9544976007612009
Stage 2: Temporal,LogReg,isotonic,0.009365936847014455,0.07193150271805013,0.23422952563682697,0.9600138504249189
Stage 2: Temporal,LogReg,temperature,0.23049669558945832,0.14525773591577984,0.23422952563682697,0.015936633254154398
Stage 2: Temporal,LogReg,beta,0.006390901196438604,0.07158584994690109,0.23422952563682697,0.9727152194879662
Stage 2: Temporal,GBM,platt,0.028020715116158057,0.07155779626385511,0.030009397806548772,0.06626866367697448
Stage 2: Temporal,GBM,isotonic,0.008870286703002746,0.06984470750447244,0.030009397806548772,0.7044163711586696
Stage 2: Temporal,GBM,temperature,0.018372961698826133,0.07122181667087107,0.030009397806548772,0.3877597338918707
Stage 2: Temporal,GBM,beta,0.008665639332790144,0.06960001181501473,0.030009397806548772,0.7112358139056328
Stage 3: Multi-site,LogReg,platt,4.801415424901534e-06,0.08526142619483161,0.5902325823454377,0.9999918652145467
Stage 3: Multi-site,LogReg,isotonic,0.0018847297887958244,0.08453358394633714,0.5902325823454377,0.9968068015132164
Stage 3: Multi-site,LogReg,temperature,0.4129568791650326,0.26114547906368,0.5902325823454377,0.300348893780068
Stage 3: Multi-site,LogReg,beta,0.000999521453480084,0.08499407394400404,0.5902325823454377,0.9983065634067366
Stage 3: Multi-site,GBM,platt,0.019293926584721,0.07313958946254255,0.038165476627360855,0.49446651032024136
Stage 3: Multi-site,GBM,isotonic,0.0037672636986447443,0.07241160898103982,0.038165476627360855,0.9012913231655021
Stage 3: Multi-site,GBM,temperature,0.03853612447658311,0.07741486734624581,0.038165476627360855,-0.009711600167899848
Stage 3: Multi-site,GBM,beta,0.0019783379914635906,0.07227140942884411,0.038165476627360855,0.9481642005737374
Stage 4: Continental,LogReg,platt,0.030723307862413667,0.14198020952146911,0.15285729076725882,0.7990065916502922
Stage 4: Continental,LogReg,isotonic,0.005550631367869585,0.14028814056567607,0.15285729076725882,0.9636874934783386
Stage 4: Continental,LogReg,temperature,0.10680828901534693,0.1615612370398006,0.15285729076725882,0.3012548601428917
Stage 4: Continental,LogReg,beta,0.012489863831559395,0.14035640984955794,0.15285729076725882,0.9182906895126349
Stage 4: Continental,GBM,platt,0.023631335774083065,0.1347052792554184,0.11646739494564659,0.7970991298885717
Stage 4: Continental,GBM,isotonic,0.01154780238546771,0.13216153252417503,0.11646739494564659,0.9008494833179974
Stage 4: Continental,GBM,temperature,0.01586912510575344,0.13185897912363692,0.11646739494564659,0.8637462002721079
Stage 4: Continental,GBM,beta,0.012886981844940177,0.131618275710366,0.11646739494564659,0.8893511626068882
